QUESTION,REPONSE,DIFFICULTE
Quelle est la vitesse maximale autorisée dans les stands en F1 (généralement) ?,80 km/h,5
Quel est le sport de Wendie Renard ?,Football,3
Combien de fois Michael Schumacher a-t-il été champion du monde ?,7,3
Quel est le sport de Alexis Pinturault ?,Ski alpin,4
Dans quel sport utilise-t-on le terme "Home Run" ?,Baseball,2
Quel est le sport de Julian Alaphilippe ?,Cyclisme,2
Quelle ville a organisé les premiers Jeux Olympiques modernes en 1896 ?,Athènes,3
Quel est le sport de Patrice Martin ?,Ski nautique,5
Combien de fautes personnelles un joueur de NBA peut-il faire avant d'être exclu ?,6,4
Quel est le sport de Jeannie Longo ?,Cyclisme,2
Dans quel sport utilise-t-on un "plastron" ?,Escrime (ou Taekwondo),3
Quel est le sport de Arsène Wenger (entraîneur) ?,Football,2
Quelle est la distance entre les bases au baseball ?,27,43 mètres (90 pieds),5
Quel est le sport de Tony Estanguet ?,Canoë-Kayak,3
Combien de temps a le gardien de foot pour dégager le ballon (théoriquement) ?,6 secondes,5
Quel est le sport de Surya Bonaly ?,Patinage artistique,3
Dans quel sport utilise-t-on le terme "Dunk" ?,Basket-ball,1
Quel est le sport de Eric Cantona ?,Football,1
Quelle est la nationalité du coureur Eddy Merckx ?,Belge,3
Quel est le sport de Philippe Candeloro ?,Patinage artistique,2
Combien de joueurs y a-t-il au total sur un terrain de basket ?,10,2
Quel est le sport de David Douillet ?,Judo,2
Dans quel sport utilise-t-on le terme "Check-mate" (Échec et mat) ?,Échecs,2
Note pour le quiz master: Les échecs sont reconnus comme sport par le CIO.,Échecs,2
Quel est le sport de Laureus (prix sportif) ?,Tous les sports,5
Quelle est la devise olympique (en latin) ?,Citius Altius Fortius,4
Quel est le sport de Léon Marchand ?,Natation,2
Combien de sets maximum un match de tennis féminin peut-il durer ?,3,2
Quel est le sport de Kevin De Bruyne ?,Football,2
Dans quel sport utilise-t-on le terme "Uppercut" ?,Boxe,1
Quel est le sport de Renaud Lavillenie ?,Saut à la perche,2
Quelle nation a remporté la première Coupe du Monde de football en 1930 ?,Uruguay,4
Quel est le sport de François Gabart ?,Voile,4
Combien de balles y a-t-il sur une table de billard américain (jeu de la 8) ?,16,4
Quel est le sport de Martin Johnson ?,Rugby,4
Dans quel sport utilise-t-on le terme "Eagle" ?,Golf,3
