QUESTION,REPONSE,DIFFICULTE
Qui chante "Levitating" ?,Dua Lipa,1
Quel groupe chante "Sultans of Swing" ?,Dire Straits,3
Qui a composé "Les Noces de Figaro" ?,Mozart,4
Qui chante "Il changeait la vie" ?,Jean-Jacques Goldman,1
Quel est l'instrument de Phil Collins ?,Batterie,2
Qui chante "Hips Don't Lie" ?,Shakira,1
Quel groupe chante "Seven Nation Army" ?,The White Stripes,1
Qui est la chanteuse de "No Doubt" ?,Gwen Stefani,3
Qui chante "Résiste" ?,France Gall,1
Quel rappeur a chanté "Le monde de demain" ?,NTM,3
Qui chante "Old Town Road" ?,Lil Nas X,2
Quel groupe chante "Imagine Dragons" ?,Imagine Dragons,1
Qui a composé "La Chevauchée des Walkyries" ?,Wagner,4
Qui chante "Savoir aimer" ?,Florent Pagny,2
Quel instrument joue Eric Clapton ?,Guitare,2
Qui chante "I Kissed a Girl" ?,Katy Perry,1
Quel groupe chante "Should I Stay or Should I Go" ?,The Clash,2
Qui chante "Color Gitano" ?,Kendji Girac,1
Quel est l'instrument de Jean-Michel Jarre ?,Synthétiseur,2
Qui chante "Wrecking Ball" ?,Miley Cyrus,1
Quel groupe chante "Bitter Sweet Symphony" ?,The Verve,3
Qui chante "Mon manège à moi" ?,Edith Piaf,2
Quel rappeur chante "Suicide Social" ?,Orelsan,3
Qui chante "Royals" ?,Lorde,2
Quel groupe chante "Dream On" ?,Aerosmith,3
Qui a composé "Le Clair de lune" ?,Debussy,4
Qui chante "Envole-moi" ?,Jean-Jacques Goldman,1
Quel est l'instrument de Lizzo ?,Flûte traversière,3
Qui chante "Bad Romance" ?,Lady Gaga,1
Quel groupe chante "Take On Me" ?,A-ha,1
Qui est le chanteur de "Purple Haze" ?,Jimi Hendrix,2
Qui chante "Andalouse" ?,Kendji Girac,1
Quel groupe chante "Thunderstruck" ?,AC/DC,1
Qui a composé "La Traviata" ?,Verdi,4
Qui chante "La Kiffance" ?,Naps,1
Quel est l'instrument de Stéphane Grappelli ?,Violon,4
Qui chante "Born to Die" ?,Lana Del Rey,2
Quel groupe chante "Black Hole Sun" ?,Soundgarden,4
Qui chante "Belle" (Notre-Dame de Paris) ?,Garou Lavoine Patrick Fiori,2
Quel rappeur est membre de la Sexion d'Assaut ?,Maître Gims (ou Black M),1
Qui chante "Stay" (avec Justin Bieber) ?,The Kid LAROI,3
Quel groupe chante "Wind of Change" ?,Scorpions,2
Qui a composé "Le Messie" (Alléluia) ?,Haendel,5
Qui chante "Tomber la chemise" ?,Zebda,1
Quel instrument joue BB King ?,Guitare,2
Qui chante "Watermelon Sugar" ?,Harry Styles,1
Quel groupe chante "Personal Jesus" ?,Depeche Mode,3
Qui chante "Voyage Voyage" ?,Desireless,2
Quel rappeur chante "DKR" ?,Booba,2
Qui chante "Someone Like You" ?,Adele,1
Quel groupe chante "Paranoid" ?,Black Sabbath,3
Qui a composé "Les Planètes" ?,Holst,5
Qui chante "Dernière Danse" ?,Indila,2
Quel est l'instrument de Ravi Shankar ?,Sitar,5
Qui chante "Dance Monkey" ?,Tones and I,2
Quel groupe chante "Kashmir" ?,Led Zeppelin,3
Qui chante "Pour que tu m'aimes encore" ?,Céline Dion,1
Quel chanteur a pour surnom "The King of Rock and Roll" ?,Elvis Presley,1
Qui chante "Flowers" ?,Miley Cyrus,1
Quel groupe chante "Hey Jude" ?,The Beatles,1
Qui a composé "La Symphonie du Nouveau Monde" ?,Dvorak,5
Qui chante "Manhattan-Kaboul" ?,Renaud et Axelle Red,2
Quel instrument joue Mark Knopfler ?,Guitare,3
Qui chante "As It Was" ?,Harry Styles,1
Quel groupe chante "Enter Sandman" ?,Metallica,2
Qui chante "L'Aziza" ?,Daniel Balavoine,2
Quel rappeur a sorti "L'étrange histoire de Mr. Anderson" ?,Laylow,4
Qui chante "Don't Start Now" ?,Dua Lipa,1
Quel groupe chante "My Generation" ?,The Who,4
Qui a composé "Gymnopédies" ?,Erik Satie,5
Qui chante "J't'emmène au vent" ?,Louise Attaque,1
Quel est l'instrument de Keith Richards ?,Guitare,2
Qui chante "Chanson sur ma drôle de vie" ?,Véronique Sanson,2
Quel groupe chante "Numb" ?,Linkin Park,1
Qui chante "Tout oublier" ?,Angèle (et Roméo Elvis),1
Quel chanteur américain est aveugle et joue du piano (Soul) ?,Ray Charles,2
Qui chante "All I Want for Christmas Is You" ?,Mariah Carey,1
Quel groupe chante "Buddy Holly" ?,Weezer,4
Qui a composé "Rhapsody in Blue" ?,Gershwin,5
Qui chante "L'Aigle noir" ?,Barbara,3
