QUESTION,REPONSE,DIFFICULTE
Dans quel film Jim Carrey découvre-t-il que sa vie est une émission télé ?,The Truman Show,2
Qui a réalisé "Le Sixième Sens" ?,M. Night Shyamalan,3
Quel est le nom du panda dans "Kung Fu Panda" ?,Po,2
Dans quel film trouve-t-on la réplique "Say hello to my little friend" ?,Scarface,3
Qui joue le rôle de Edward aux mains d'argent ?,Johnny Depp,2
Quel film se passe dans un parc d'attraction avec des clones de dinosaures ?,Jurassic Park,1
Qui a réalisé "Roma" (2018) ?,Alfonso Cuaron,5
Quel est le nom de l'inspecteur joué par Louis de Funès dans Fantômas ?,Juve,4
Dans quel film trouve-t-on le personnage de Sarah Connor ?,Terminator,2
Qui a réalisé "Les Affranchis" ?,Martin Scorsese,3
Quel est le nom du robot doré dans Star Wars ?,C-3PO,3
Dans quel film trouve-t-on la réplique "I see dead people" (Je vois des gens morts) ?,Sixième Sens,2
Qui joue le rôle de Captain America ?,Chris Evans,2
Quel film a remporté l'Oscar du meilleur film en 1998 (romance tragique) ?,Titanic,2
Qui a réalisé "Mulholland Drive" ?,David Lynch,5
Quel est le nom du tigre dans Le Livre de la Jungle ?,Shere Khan,3
Dans quel film trouve-t-on le personnage de McLovin ?,Supergrave,4
Qui joue le rôle de Deadpool ?,Ryan Reynolds,2
Quel film raconte l'histoire d'un rat qui veut devenir chef cuisinier ?,Ratatouille,1
Qui a réalisé "Le Silence des Agneaux" ?,Jonathan Demme,4
Quel est le nom de la mère de Bambi ?,Elle n'a pas de nom (La Mère),5
Dans quel film trouve-t-on le personnage de Doc Brown ?,Retour vers le futur,2
Qui a réalisé "Drive" ?,Nicolas Winding Refn,4
Quel acteur joue le rôle de Wolverine pour la dernière fois dans "Logan" ?,Hugh Jackman,3
Dans quel film trouve-t-on la réplique "Here's Johnny !" ?,Shining,3
Qui a réalisé "Les Tontons Flingueurs" ?,Georges Lautner,4
Quel est le nom de l'île dans King Kong ?,Skull Island,3
Dans quel film trouve-t-on le personnage de Walter Sobchak ?,The Big Lebowski,4
Qui joue le rôle de Amélie Poulain ?,Audrey Tautou,2
Quel film d'animation japonais a pour mascotte un gros animal gris et blanc ?,Mon Voisin Totoro,3
Qui a réalisé "Old Boy" (l'original coréen) ?,Park Chan-wook,5
Quel est le nom du chien dans "The Artist" ?,Uggie,5
Dans quel film trouve-t-on le personnage de Maximus Decimus Meridius ?,Gladiator,3
Qui a réalisé "Slumdog Millionaire" ?,Danny Boyle,3
Quel est le film le plus rentable de tous les temps (sans inflation, en 2024) ?,Avatar,3
Dans quel film trouve-t-on le personnage de Vito Corleone ?,Le Parrain,2
Qui a joué le rôle de Batman dans la version de Tim Burton (1989) ?,Michael Keaton,4
Quel film a pour titre original "Star Wars" (sans épisode) ?,Un nouvel espoir,4
Qui a réalisé "Requiem for a Dream" ?,Darren Aronofsky,4
Quel est le nom de la poupée tueuse dans le film d'horreur classique ?,Chucky,2
Dans quel film trouve-t-on le personnage de John McClane ?,Die Hard (Piège de Cristal),3
Qui a réalisé "12 Hommes en colère" ?,Sidney Lumet,4
Quel acteur incarne "Mad Max" dans le film de 2015 (Fury Road) ?,Tom Hardy,4
Dans quel film trouve-t-on le personnage de Danny Ocean ?,Ocean's Eleven,3
Qui a réalisé "La Cité de la Peur" ?,Alain Berbérian,5
Quel est le nom du bar dans Casablanca ?,Rick's Café,5
Dans quel film trouve-t-on le personnage de Rey ?,Star Wars (Postlogie),2
Qui joue le rôle de Mia Wallace ?,Uma Thurman,3
Quel film a gagné la Palme d'Or en 1994 (devant La Reine Margot) ?,Pulp Fiction,4
Dans quel film trouve-t-on le personnage de Verbal Kint ?,Usual Suspects,5
Qui a réalisé "Y a-t-il un pilote dans l'avion ?" ?,ZAZ (Zucker Abrahams Zucker),5
Quel est le nom de l'intelligence artificielle dans Iron Man ?,JARVIS,3
Dans quel film trouve-t-on le personnage de Marla Singer ?,Fight Club,4
Qui a réalisé "Le Sens de la fête" ?,Toledano et Nakache,3
Quel film d'animation a pour héros un panda roux ?,Alerte Rouge,3
