QUESTION,REPONSE,DIFFICULTE
Qui est le frère de Liam Gallagher (Oasis) ?,Noel Gallagher,3
Quelle chanteuse a fait le show à la mi-temps du Super Bowl 2023 enceinte ?,Rihanna,2
Qui est l'acteur principal de "Mission Impossible" ?,Tom Cruise,1
Quel présentateur télé a animé "N'oubliez pas les paroles" ?,Nagui,1
Qui est la chanteuse de "Rolling in the Deep" ?,Adele,1
Quel acteur français a eu un accident de ski grave en 2022 ?,Gaspard Ulliel,3
Qui a joué le Joker et est mort peu après (2008) ?,Heath Ledger,3
Quelle star a lancé la marque de cosmétiques "Fenty Beauty" ?,Rihanna,2
Qui est le compagnon de Marion Cotillard ?,Guillaume Canet,2
Quel chanteur a chanté "Purple Rain" ?,Prince,2
Qui est l'actrice principale de "Pretty Woman" ?,Julia Roberts,1
Quel animateur présente "Koh-Lanta" ?,Denis Brogniart,1
Qui est la mère de la famille Kardashian (la manager) ?,Kris Jenner,3
Quel acteur a joué "Harry Potter" ?,Daniel Radcliffe,1
Quelle chanteuse française a chanté "La Grenade" ?,Clara Luciani,3
Qui est le célèbre chef cuisinier français très médiatisé (Top Chef, Cauchemar) ?,Philippe Etchebest,1
Quel est le vrai nom de Sting ?,Gordon Sumner,5
Qui a été mariée à Tom Cruise et a joué dans "Batman Begins" ?,Katie Holmes,3
Quelle star a un grain de beauté célèbre au-dessus de la lèvre ?,Cindy Crawford (ou Marilyn),2
Qui est le chanteur du groupe U2 ?,Bono,2
Quel acteur incarne "Thor" ?,Chris Hemsworth,2
Qui a écrit et réalisé "Kaamelott" ?,Alexandre Astier,1
Quelle chanteuse a été en couple avec Justin Timberlake (Britney ou...). Remplacé : Qui a chanté "Toxic" ?,Britney Spears,1
Qui est le mari de Priyanka Chopra (Jonas Brothers) ?,Nick Jonas,4
Quel humoriste français a créé les "Restos du Cœur" ?,Coluche,1
Qui est la chanteuse de "Waka Waka" ?,Shakira,1
Quel acteur a joué "Wolverine" ?,Hugh Jackman,1
Qui a présenté le journal de 13h sur TF1 pendant 33 ans ?,Jean-Pierre Pernaut,1
Quelle actrice a joué "Black Widow" ?,Scarlett Johansson,2
Qui est le père d'Enrique Iglesias ?,Julio Iglesias,1
Quel chanteur français chante "Santé" et "Papaoutai" ?,Stromae,1
Qui a été Miss France et Miss Univers 2016 ?,Iris Mittenaere,2
Quel acteur américain collectionne les machines à écrire ?,Tom Hanks,5
Qui est la chanteuse du groupe No Doubt ?,Gwen Stefani,3
Quelle star a divorcé de Kanye West en 2021/2022 ?,Kim Kardashian,1
Qui est l'animateur de "Recherche appartement ou maison" ?,Stéphane Plaza,1
Quel chanteur est mort le 25 juin 2009 ?,Michael Jackson,1
Qui a joué "Neo" dans Matrix ?,Keanu Reeves,1
Quelle actrice française a reçu un Oscar pour "La Môme" ?,Marion Cotillard,2
Qui est le créateur de Star Wars ?,George Lucas,2
Quel chanteur aveugle américain chante "Superstition" ?,Stevie Wonder,2
Qui a été la compagne de Johnny Depp et mère de ses enfants (française) ?,Vanessa Paradis,2
Quelle star de la pop a été sous tutelle de son père pendant 13 ans ?,Britney Spears,2
Qui est le présentateur de "Quotidien" ?,Yann Barthès,2
Quel acteur joue "Deadpool" ?,Ryan Reynolds,2
Qui chante "Je te promets" ?,Johnny Hallyday,1
Quelle influenceuse a créé la marque "Rouje" ?,Jeanne Damas,5
Qui est le batteur des Beatles ?,Ringo Starr,4
Quel est le vrai nom de Elton John ?,Reginald Dwight,5
Qui a joué "Edward aux mains d'argent" ?,Johnny Depp,2
Quelle chanteuse a pour surnom "J.Lo" ?,Jennifer Lopez,1
Qui est l'acteur principal de la série "The Witcher" (Saison 1-3) ?,Henry Cavill,3
Quel humoriste a fait un sketch sur le "Lâcher de salopes" ?,Jean-Marie Bigard,3
Qui est la chanteuse de "I Will Always Love You" (Bodyguard) ?,Whitney Houston,2
Quel acteur a épousé Amal Alamuddin (avocate) ?,George Clooney,2
Qui est le célèbre agent secret 007 (personnage) ?,James Bond,1
Quelle actrice a joué "Lara Croft" au cinéma (la première) ?,Angelina Jolie,2
Qui est le chanteur du groupe Queen ?,Freddie Mercury,1
Quel est le vrai nom de Vin Diesel ?,Mark Sinclair,5
Qui a présenté "Le Juste Prix" (version années 2000) ?,Vincent Lagaf',2
Quelle chanteuse a chanté "Rehab" ?,Amy Winehouse,2
Qui est le mari de Beyoncé ?,Jay-Z,1
Quel acteur français est surnommé "Le Magnifique" ?,Jean-Paul Belmondo,3
Qui est la sœur de Michael Jackson ?,Janet Jackson,2
Quelle star a joué dans "Hunger Games" ?,Jennifer Lawrence,2
Qui a été le compagnon de Selena Gomez et Hailey Baldwin ?,Justin Bieber,2
Quel chanteur français a chanté "Allumer le feu" ?,Johnny Hallyday,1
Qui est la créatrice de la marque "Kylie Cosmetics" ?,Kylie Jenner,2
Quel acteur joue "Captain America" ?,Chris Evans,3
Qui est l'animateur historique de "Fort Boyard" ?,Olivier Minne,2
Quelle chanteuse a chanté "Material Girl" ?,Madonna,2
Qui est le père de Charlotte Gainsbourg ?,Serge Gainsbourg,2
Quel acteur a joué "Indiana Jones" ?,Harrison Ford,1
Qui a été mariée à Russell Brand et Orlando Bloom ?,Katy Perry,3
Quelle star française a chanté "La Javanaise" ?,Serge Gainsbourg,2
Qui est l'acteur principal de la saga "Fast and Furious" ?,Vin Diesel,2
Quel chanteur a été membre des One Direction ?,Harry Styles,2
Qui a présenté "Tout le monde en parle" ?,Thierry Ardisson,3
Quelle actrice a joué dans "Basic Instinct" (scène des jambes) ?,Sharon Stone,2
Qui est le mari de Blake Lively ?,Ryan Reynolds,3
Quel chanteur français porte des lunettes blanches (généralement) ?,Michel Polnareff,2
Qui a joué "Gandalf" ?,Ian McKellen,3
Quelle chanteuse a chanté "Bad Guy" ?,Billie Eilish,2
Qui est le célèbre pâtissier qui fait des trompe-l'œil (fruits) ?,Cédric Grolet,3
Quel acteur a joué "Gladiator" ?,Russell Crowe,2
Qui est l'ex-femme de Bruce Willis ?,Demi Moore,3
Quelle star de YouTube fait des vidéos d'horreur "Thread Horreur" ?,Squeezie,2
Qui a chanté "Bohemian Rhapsody" ?,Queen (Freddie Mercury),1
Quel acteur a incarné le "Joker" en 2019 ?,Joaquin Phoenix,3
Qui est la fille de Jane Birkin et Serge Gainsbourg ?,Charlotte Gainsbourg,2
Quelle animatrice présente "L'Amour est dans le pré" ?,Karine Le Marchand,1
Qui est le chanteur de "Shape of You" ?,Ed Sheeran,1
Quel acteur français a joué "Cyrano de Bergerac" (1990) ?,Gérard Depardieu,2
Qui a été la Première Dame de France chanteuse et mannequin ?,Carla Bruni,2
Quelle star a joué dans "Maman, j'ai raté l'avion" ?,Macaulay Culkin,2
Qui est le compagnon de Rihanna (rappeur) ?,A$AP Rocky,3
Quel chanteur a chanté "Mistral Gagnant" ?,Renaud,2
Qui est l'actrice principale de "La La Land" ?,Emma Stone,3
Quel animateur américain a une moustache et présente "Family Feud" ?,Steve Harvey,4
Qui a chanté "Like a Virgin" ?,Madonna,1
Quelle actrice française a joué dans un James Bond (Spectre) ?,Léa Seydoux,3
Qui est le père de Angelina Jolie ?,Jon Voight,4
Quel chanteur a chanté "Rocket Man" ?,Elton John,2
Qui est l'animateur de "Vendredi tout est permis" ?,Arthur,2
Quelle star a un parfum célèbre "N°5" (marque associée) ?,Coco Chanel (Marilyn le portait),2
Qui a joué "Barbie" dans le film de 2023 ?,Margot Robbie,1
Quel acteur a joué "Ken" dans le film Barbie ?,Ryan Gosling,2
Qui est le mari de Jada Pinkett Smith ?,Will Smith,2
Quelle chanteuse a chanté "Born to Die" ?,Lana Del Rey,2
Qui a présenté "Le Grand Journal" sur Canal+ (au début) ?,Michel Denisot,3
Quel est le vrai nom de Soprano ?,Saïd M'Roumbaba,4
Qui a joué "Spider-Man" avant Tom Holland et Andrew Garfield ?,Tobey Maguire,2
Quelle star de télé-réalité a pour soeurs Kourtney et Khloé ?,Kim Kardashian,1
Qui est le chanteur du groupe Coldplay ?,Chris Martin,3
Quel acteur français a joué dans "Intouchables" ?,Omar Sy,1
Qui est l'épouse de Justin Timberlake ?,Jessica Biel,4
Quelle chanteuse a chanté "Video Games" ?,Lana Del Rey,3
Qui a présenté "Les Z'amours" pendant longtemps (viré) ?,Tex,3
Quel acteur a joué "Dr House" ?,Hugh Laurie,2
Qui est la mère de Kate Hudson ?,Goldie Hawn,4
Quelle star française a joué dans "Le Cinquième Élément" (Leeloo) ?,Milla Jovovich (Non elle est pas fr). Remplacé : Qui a réalisé le film ?,Luc Besson,2
Qui a chanté "Imagine" ?,John Lennon,1
Quel acteur a joué "Forrest Gump" ?,Tom Hanks,1
Qui est la femme de Nicolas Sarkozy ?,Carla Bruni,1
Quelle chanteuse a chanté "Hollaback Girl" ?,Gwen Stefani,4
Qui est le créateur de la série "Kaamelott" ?,Alexandre Astier,1
Quel youtubeur fait des vidéos "Qui est l'imposteur ?" ?,Squeezie,2
Qui a joué "Batman" dans la trilogie de Nolan ?,Christian Bale,3
Quelle actrice a joué "Catwoman" dans Batman le Défi (1992) ?,Michelle Pfeiffer,3
Qui est le chanteur de "Angels" ?,Robbie Williams,3
Quel acteur français est surnommé "Dewaere" ?,Patrick Dewaere,4
Qui a présenté le "Club Dorothée" ?,Dorothée,1
Quelle chanteuse a chanté "Baby One More Time" ?,Britney Spears,1
Qui est le mari de Sophie Turner (Game of Thrones) ?,Joe Jonas (Divorce en cours mais connu pour ça),3
Quel acteur a joué "Hannibal Lecter" ?,Anthony Hopkins,3
Qui est la chanteuse de "Chandelier" ?,Sia,2
Quel animateur a des cheveux longs et présente "Le Plus Grand Cabaret du monde" ?,Patrick Sébastien,2
Qui a chanté "Les Lacs du Connemara" ?,Michel Sardou,1
Quelle actrice a joué "Amélie Poulain" ?,Audrey Tautou,1
Qui est le père de Enrique Iglesias ?,Julio Iglesias,1
Quel chanteur a chanté "Femme Libérée" ?,Cookie Dingler,3
Qui a joué "Rocky Balboa" ?,Sylvester Stallone,1
Quelle star a pour ex-mari Russell Brand ?,Katy Perry,4
Qui est le chanteur de "Uptown Funk" ?,Bruno Mars,2
Quel acteur a joué "Mad Max" (l'original) ?,Mel Gibson,3
Qui est l'animatrice de "C à vous" (historique ou actuelle) ?,Anne-Elisabeth Lemoine,3
Quelle chanteuse a chanté "California Gurls" ?,Katy Perry,2
Qui est le mari de Elton John ?,David Furnish,5
Quel acteur a joué "Léon" ?,Jean Reno,1
Qui est la chanteuse de "Bad Romance" ?,Lady Gaga,1
Quelle star française a joué dans "Inception" ?,Marion Cotillard,2
Qui a présenté "Ushuaïa" ?,Nicolas Hulot,2
Quel chanteur a chanté "Pas là" ?,Vianney,2
Qui est la soeur de Beyoncé ?,Solange Knowles,3
Quelle actrice a joué "Cruella" (film récent) ?,Emma Stone,3
Qui est le chanteur de "Take Me to Church" ?,Hozier,4
Quel humoriste a fait un spectacle avec Gad Elmaleh (disponible sur Netflix) ?,Kev Adams,3
Qui a chanté "Les Démons de minuit" ?,Images,3
Quelle star a épousé Ben Affleck en 2022 (après 20 ans de pause) ?,Jennifer Lopez,2
