QUESTION,REPONSE,DIFFICULTE
Dans quel jeu d'horreur est-on poursuivi par le Nemesis ?,Resident Evil 3,2
Quel est le nom du dinosaure vert ami de Mario ?,Yoshi,1
Quelle entreprise a créé la Mega Drive ?,Sega,2
Quel est le nom du héros de "Metal Gear Solid" ?,Solid Snake,2
Dans quel jeu utilise-t-on un "Portal Gun" ?,Portal,2
Quel est le nom de la sorcière à lunettes et aux pistolets (Sega) ?,Bayonetta,3
Quel jeu de course met en scène les personnages de Nintendo ?,Mario Kart,1
Quel est le nom de l'épée de Link ?,Excalibur (ou Épée de Légende / Master Sword),1
Dans quel jeu incarne-t-on Geralt de Riv ?,The Witcher,2
Quel est le méchant principal de l'univers Mario ?,Bowser,1
Quelle est la devise des Assassins dans Assassin's Creed ?,Rien n'est vrai tout est permis,3
Quel est le nom du renard à deux queues ami de Sonic ?,Tails,2
Dans quel jeu doit-on survivre à des animatroniques dans une pizzeria ?,Five Nights at Freddy's,2
Quel est le nom du robot bleu créé par le Dr. Light ?,Mega Man,2
Quelle console a suivi la Super Nintendo ?,Nintendo 64,2
Dans quel jeu voyage-t-on à bord du Normandy ?,Mass Effect,3
Quel est le nom de la fille d'Ellie dans The Last of Us (figure paternelle Joël) ?,Ellie,2
Quelle marque de voiture est au centre du jeu "Gran Turismo" (Exclusivité Sony) ?,Toutes (C'est un jeu de course réaliste),3
Note: Question remplacée: Quel jeu de course est une exclusivité Xbox ?,Forza,2
Quel est le nom de la princesse dans "The Legend of Zelda" ?,Zelda,1
Quel jeu de plateforme difficile met en scène un morceau de viande ?,Super Meat Boy,3
Quel est le nom du créateur de Mario et Zelda ?,Shigeru Miyamoto,3
Dans quel jeu de combat très violent peut-on faire des "Fatalities" ?,Mortal Kombat,2
Quel est le nom de la boule jaune qui mange des fantômes ?,Pac-Man,1
Quelle console de Nintendo est sortie en 2017 et est hybride ?,Switch,1
Quel est le nom du bandit marsupial orange ?,Crash Bandicoot,1
Dans quel jeu incarne-t-on un calamar qui tire de la peinture ?,Splatoon,2
Quel est le nom du héros de Final Fantasy VII ?,Cloud Strife,2
Quelle est la particularité des jeux "Souls" (Dark Souls) ?,Difficulté élevée,2
Dans quel jeu doit-on attraper des singes avec un filet ?,Ape Escape,3
Quel est le nom de la firme qui a créé la franchise "Final Fantasy" ?,Square Enix,3
Quel est le nom de l'intelligence artificielle dans Halo ?,Cortana,2
Dans quel jeu explore-t-on la région de Hyrule ?,The Legend of Zelda,1
Quel est le nom du méchant dans Sonic ?,Dr. Robotnik (ou Eggman),2
Quelle année est sortie la première PlayStation au Japon ?,1994,4
Quel est le nom du cowboy dans Red Dead Redemption 2 ?,Arthur Morgan,2
Dans quel jeu incarne-t-on un commandant de vaisseau spatial contre les Reapers ?,Mass Effect,3
Quel est le nom de la relique triangulaire dorée dans Zelda ?,Triforce,2
Quel est le jeu de combat crossover de Nintendo ?,Super Smash Bros,2
Dans quel jeu trouve-t-on la ville de Raccoon City ?,Resident Evil,2
Quel est le nom de la petite fée qui accompagne Link dans Ocarina of Time ?,Navi,3
Quelle entreprise a créé la Game Boy ?,Nintendo,1
Quel est le nom du héros de "Kingdom Hearts" ?,Sora,3
Dans quel jeu doit-on désamorcer une bombe pendant qu'un autre lit le manuel ?,Keep Talking and Nobody Explodes,3
Quel est le nom de la planète des Zorgs dans Toy Story (Jeu tiré du film). Remplacé : Quel jeu a pour héros un ver de terre en combinaison spatiale ?,Earthworm Jim,4
Quel est le nom du frère de Dante dans Devil May Cry ?,Vergil,4
Dans quel jeu incarne-t-on le Dovahkiin ?,Skyrim (The Elder Scrolls V),2
Quel est le nom du raton laveur voleur (Sly) ?,Sly Cooper,3
Quelle console a fait un flop commercial pour Nintendo avant la Switch ?,Wii U,2
Quel est le nom de l'agent secret féminin dans Perfect Dark ?,Joanna Dark,4
Dans quel jeu gère-t-on un parc d'attractions ?,RollerCoaster Tycoon,3
Quel est le nom du héros de "Prince of Persia" ?,Le Prince,2
Quelle est la couleur de la casquette de Luigi ?,Verte,1
Dans quel jeu trouve-t-on les personnages de Ryu et Ken ?,Street Fighter,2
Quel est le nom de l'organisation criminelle dans Pokémon (la première) ?,Team Rocket,1
Quel jeu a popularisé le genre MOBA (avec DOTA) ?,League of Legends,2
Quel est le nom du créateur de Metal Gear Solid ?,Hideo Kojima,3
Dans quel jeu incarne-t-on un petit chevalier insecte dans un monde souterrain ?,Hollow Knight,3
Quel est le nom du scientifique dans Half-Life ?,Gordon Freeman,3
Quelle console est connue pour son "Red Ring of Death" ?,Xbox 360,3
Dans quel jeu utilise-t-on une "Keyblade" ?,Kingdom Hearts,2
Quel est le nom du renard pilote de vaisseau spatial ?,Fox McCloud,3
Quel est le jeu le plus vendu sur la Game Boy originale ?,Tetris,2
Dans quel jeu trouve-t-on des Big Daddies et des Little Sisters ?,BioShock,3
Quel est le nom du héros de "Splinter Cell" ?,Sam Fisher,3
Quelle est la devise de la Team Rocket ?,Afin de préserver le monde de la dévastation...,2
Quel est le nom du monde dans Minecraft ?,Overworld,3
Dans quel jeu incarne-t-on un sorceleur ?,The Witcher,2
Quel est le nom du chien dans Duck Hunt ?,Le chien (Duck Hunt Dog),2
Quelle console Sega était la concurrente de la Super Nintendo ?,Mega Drive (Genesis),2
Quel est le nom de la princesse dans Donkey Kong (l'originale) ?,Pauline,4
Dans quel jeu doit-on aligner des bonbons colorés ?,Candy Crush Saga,1
Quel est le nom de la mascotte d'Ubisoft (pas de bras ni jambes) ?,Rayman,2
Quel est le nom du héros de "Ghosts 'n Goblins" ?,Arthur,4
Dans quel jeu trouve-t-on la "Lame secrète" ?,Assassin's Creed,2
Quel est le nom du vaisseau de Samus Aran ?,Gunship,4
Quelle entreprise a développé "Overwatch" ?,Blizzard,2
Quel est le nom du cyborg ninja dans Metal Gear Solid ?,Gray Fox,4
Dans quel jeu trouve-t-on la ville de Rapture sous l'eau ?,BioShock,2
Quel est le nom de la petite sœur de Mario (n'existe pas officiellement). Remplacé : Qui est l'anti-Mario ?,Wario,2
Quel est le nom du frère de Wario ?,Waluigi,2
Dans quel jeu incarne-t-on le Commandant Shepard ?,Mass Effect,3
Quel est le nom de la pierre verte magique dans les Sims ?,Plumbob,4
Quelle console de salon a été la première à utiliser des CD (grand public) ?,PlayStation (ou Saturn),3
Quel est le nom du jeu où l'on contrôle une oie insupportable ?,Untitled Goose Game,3
Dans quel jeu trouve-t-on Pyramid Head ?,Silent Hill,3
Quel est le nom du héros de "Dragon Quest" (souvent) ?,Le Héros (ou un nom choisi),4
Quelle est la particularité de la Game Gear de Sega ?,Écran couleur,3
Dans quel jeu de course futuriste conduit-on des vaisseaux antigravité (Sony) ?,Wipeout,3
Quel est le nom de la fille du président dans Resident Evil 4 ?,Ashley Graham,3
Quel jeu a été créé par Markus Persson (Notch) ?,Minecraft,2
Dans quel jeu trouve-t-on des "Cremators" et "Combine" ?,Half-Life 2,4
Quel est le nom du héros de "Dead Space" ?,Isaac Clarke,3
Quelle est la dernière console produite par Sega ?,Dreamcast,3
Dans quel jeu incarne-t-on un avocat qui crie "Objection !" ?,Ace Attorney (Phoenix Wright),3
Quel est le nom du monde dans World of Warcraft ?,Azeroth,3
Quel jeu de combat spatial se passe dans l'univers de Star Wars (années 90/2000) ?,Rogue Squadron,4
Quel est le nom de la créature qui accompagne le héros dans "The Last Guardian" ?,Trico,4
Dans quel jeu doit-on s'échapper des laboratoires d'Aperture Science ?,Portal,2
Quel est le nom du héros de "Max Payne" ?,Max Payne,1
Quelle console a introduit les trophées/succès en premier ?,Xbox 360,4
Dans quel jeu incarne-t-on Amaterasu, la déesse du soleil sous forme de loup ?,Okami,4
Quel est le nom du méchant dans "Far Cry 3" ?,Vaas,3
Quel jeu de gestion de parc de dinosaures est sorti en 2018 ?,Jurassic World Evolution,3
Dans quel jeu trouve-t-on la ville de Vice City ?,GTA (Grand Theft Auto),2
Quel est le nom du personnage principal de "Watch Dogs" ?,Aiden Pearce,4
Quelle est la console la plus vendue de Nintendo (portable incluse) ?,Nintendo DS,3
Dans quel jeu trouve-t-on des Chocobos ?,Final Fantasy,2
Quel est le nom du héros de "F-Zero" ?,Captain Falcon,3
Quel jeu a été enterré dans le désert du Nouveau-Mexique en 1983 ?,E.T. l'extra-terrestre,5
Dans quel jeu incarne-t-on un cuphead ?,Cuphead,2
Quel est le nom du créateur de "Civilization" ?,Sid Meier,4
Quelle est la première mascotte de Sega (avant Sonic) ?,Alex Kidd,5
Dans quel jeu trouve-t-on la "Master Sword" ?,Zelda,1
Quel est le nom de la fille de Kratos (God of War grec) ? Piège c'est Calliope.,Calliope,5
Dans quel jeu trouve-t-on des Bloopers et des Goombas ?,Super Mario,2
Quel est le nom du héros de "Shenmue" ?,Ryo Hazuki,5
Quelle console de jeux vidéo a été conçue par Apple en 1996 ?,Pippin,5
Dans quel jeu trouve-t-on le personnage de Glados ?,Portal,3
Quel est le nom du vampire dans "Castlevania" ?,Dracula,2
Quel jeu de tir multijoueur de Valve a pour terroristes et antiterroristes ?,Counter-Strike,2
Quel est le nom du héros de "Bioshock Infinite" ?,Booker DeWitt,4
Dans quel jeu incarne-t-on un chat roux dans une ville cybernétique ?,Stray,2
Quel est le nom de la ville volante dans Bioshock Infinite ?,Columbia,4
Quelle est la touche pour "Payer ses respects" (Press F to pay respects) ?,F,3
Dans quel jeu trouve-t-on le "Konami Code" pour la première fois ?,Gradius,5
Quel est le nom du personnage principal de "Persona 5" (Nom de code) ?,Joker,3
Quelle console a pour nom de code "Dolphin" ?,GameCube,5
Dans quel jeu trouve-t-on des "Clickers" (Claqueurs) ?,The Last of Us,3
Quel est le nom du héros de "Dishonored" ?,Corvo Attano,4
Quel jeu a pour sous-titre "Breath of the Wild" ?,Zelda,1
Dans quel jeu incarne-t-on un dieu parmi les dieux (MOBA) ?,Smite,4
Quel est le nom du créateur de "Stardew Valley" ?,ConcernedApe,5
Quelle est la capacité de Kirby ?,Avaler ses ennemis,1
Dans quel jeu trouve-t-on la "Buster Sword" ?,Final Fantasy VII,3
Quel est le nom du héros de "Life is Strange" (Saison 1) ?,Max Caulfield,3
Quelle console virtuelle a échoué lamentablement pour Nintendo (rouge et noir) ?,Virtual Boy,4
Dans quel jeu incarne-t-on un pilote de Titan ?,Titanfall,3
Quel est le nom du méchant dans "Crash Bandicoot" ?,Dr. Neo Cortex,3
Quel jeu de rythme se joue avec un tapis de danse ?,Dance Dance Revolution,2
Dans quel jeu trouve-t-on la région de Kanto ?,Pokémon,2
Quel est le nom du héros de "Yakuza" ?,Kazuma Kiryu,4
Quelle est la date de sortie de la Switch (Année) ?,2017,3
Dans quel jeu incarne-t-on un personnage en papier ?,Paper Mario,2
Quel est le nom du fantôme roi dans Mario ?,Roi Boo,3
Quel jeu vidéo est le plus vendu sur PC (avant Minecraft) ?,Les Sims (ou PUBG selon les périodes),4
Note: Question remplacée: Quel est le FPS compétitif de Valve sorti en 2012 ?,CS:GO,3
Dans quel jeu trouve-t-on le personnage de Sephiroth ?,Final Fantasy VII,2
Quel est le nom du père de la princesse Zelda ?,Le Roi d'Hyrule,3
Quelle console a introduit le stick analogique moderne (grand public) ?,Nintendo 64,4
Dans quel jeu incarne-t-on un camionneur dans l'espace ?,Star Trucker (Non). Remplacé : Euro Truck Simulator,2
Quel est le nom de la ville dans "Silent Hill" ?,Silent Hill,1
Quel jeu de baston réunit les univers Marvel et Capcom ?,Marvel vs. Capcom,2
Dans quel jeu trouve-t-on des "Creepers" ?,Minecraft,1
Quel est le nom du frère de Solid Snake ?,Liquid Snake,4
Quelle est la console la plus puissante à sa sortie : SNES ou Mega Drive ?,SNES (Techniquement),5
Dans quel jeu incarne-t-on 2B ?,NieR: Automata,4
Quel est le nom du héros de "Kingdom Come: Deliverance" ?,Henry,5
Quelle entreprise a créé la Neo-Geo ?,SNK,5
Dans quel jeu doit-on sauver la princesse Peach (le tout premier) ?,Super Mario Bros,1
Quel est le nom du héros de "Deus Ex" ?,JC Denton (ou Adam Jensen),4
Quel jeu a popularisé le terme "Speedrun" (Metroid/Doom) ?,Doom,4
Dans quel jeu trouve-t-on des "Lemmings" ?,Lemmings,2
Quel est le nom du créateur de "Tetris" ?,Alexey Pajitnov,5
Quelle console a pour logo un cube violet ?,GameCube,2
Dans quel jeu incarne-t-on un assassin chauve (Code 47) ?,Hitman,2
Quel est le nom du héros de "Goat Simulator" ?,Pilgor,5
Quel jeu indépendant a pour héros un petit chevalier à la pelle ?,Shovel Knight,3
