QUESTION,REPONSE,DIFFICULTE
Quel coureur cycliste a remporté 7 tours de France dans les années 2000 (puis annulés) ?,Lance Armstrong,1
Quel est le titre du dernier tome d'Harry Potter sorti en livre en 2007 ?,Les Reliques de la Mort,3
Quelle planète du système solaire a été rétrogradée en "planète naine" en 2006 ?,Pluton,2
Quel chanteur est mort le 25 juin 2009 ?,Michael Jackson,1
Quelle émission mettait en scène des candidats sur une île déserte (France, 2001) ?,Koh-Lanta,1
Quel groupe allemand a fait fureur chez les ados avec "Monsoon" ?,Tokio Hotel,2
Quel film d'animation de Pixar se passe sous l'océan (2003) ?,Le Monde de Nemo,1
Qui a présenté le journal de 20h sur TF1 jusqu'en 2008 ?,Patrick Poivre d'Arvor (PPDA),2
Quel pays a remporté l'Euro 2004 de football à la surprise générale ?,Grèce,3
Quelle chanson a été le tube de l'été 2002 (chorégraphie ketchup) ?,Asereje (The Ketchup Song),2
Quel logiciel de messagerie instantanée de Microsoft était incontournable ?,MSN Messenger,1
Qui a réalisé le film "Inglourious Basterds" sorti en 2009 ?,Quentin Tarantino,3
Quelle série médicale avec le Dr Meredith Grey a débuté en 2005 ?,Grey's Anatomy,1
Quel scandale financier a éclaté en 2001 (entreprise énergétique US) ?,Enron,4
Qui a gagné la Nouvelle Star en 2006 (La Tortue) ?,Christophe Willem,2
Quel film français a révélé Jean Dujardin en surfeur (2005) ?,Brice de Nice,2
Quelle console portable de Nintendo à deux écrans est sortie en 2004 ?,Nintendo DS,2
Quel événement climatique a touché la France en été 2003 ?,Canicule,1
Quel groupe de rock a sorti "Seven Nation Army" en 2003 ?,The White Stripes,1
Qui a été le premier ministre de la France de 2002 à 2005 ?,Jean-Pierre Raffarin,3
Quel film de Christopher Nolan a relancé la franchise Batman en 2005 ?,Batman Begins,2
Quelle chanteuse pop a sorti "Poker Face" en 2008 ?,Lady Gaga,1
Quel pays a rejoint l'Union Européenne en 2004 (avec 9 autres) ?,Pologne (ou Hongrie/Rep. Tchèque),3
Quel jeu vidéo permet de voler des voitures dans un monde ouvert (version San Andreas 2004) ?,GTA (Grand Theft Auto),1
Qui a interprété le Joker dans "The Dark Knight" (2008) ?,Heath Ledger,2
Quelle navette spatiale s'est désintégrée lors de son retour en 2003 ?,Columbia,3
Quel est le nom du concorde qui s'est écrasé en 2000 ?,Concorde,2
Qui a chanté "Can't Get You Out of My Head" en 2001 ?,Kylie Minogue,2
Quel film a réuni Brad Pitt et Angelina Jolie en 2005 ?,Mr. and Mrs. Smith,2
Quelle émission de M6 cherchait l'amour pour des agriculteurs (2005) ?,L'Amour est dans le pré,1
Quel pays a organisé la Coupe du Monde de football en 2006 ?,Allemagne,2
Quelle série TV met en scène un tueur en série expert en sang (2006) ?,Dexter,2
Quel chanteur français a chanté "Caravane" en 2005 ?,Raphaël,2
Quelle entreprise a racheté YouTube en 2006 ?,Google,3
Qui a remporté le tournoi de Wimbledon 5 fois de suite entre 2003 et 2007 ?,Roger Federer,2
Quel film d'animation met en scène des manchots empereurs (2005) ?,La Marche de l'empereur,2
Quelle chanteuse a rasé sa tête devant les paparazzis en 2007 ?,Britney Spears,1
Quel système d'exploitation Microsoft a succédé à Windows 98/ME en 2001 ?,Windows XP,2
Quel groupe a chanté "In the End" en 2000 ?,Linkin Park,2
Quel homme politique français a atteint le second tour de la présidentielle 2002 ?,Jean-Marie Le Pen,1
Quelle plateforme de streaming musical suédoise a été lancée en 2008 ?,Spotify,3
Quel film a popularisé la phrase "Je vais bien ne t'en fais pas" en 2006 ?,Je vais bien ne t'en fais pas,3
Qui a présenté le "Bigdil" sur TF1 ?,Vincent Lagaf',2
Quelle série TV met en scène des femmes au foyer désespérées ?,Desperate Housewives,1
Quel sprinteur jamaïcain a explosé les records en 2008 ?,Usain Bolt,1
Quel pays a été touché par une guerre éclair avec la Russie en 2008 ?,Géorgie,4
Quelle chanson de O-Zone a été un tube mondial en 2004 ?,Dragostea din tei,2
Quel acteur a joué le rôle de Jack Sparrow ?,Johnny Depp,1
Quel réseau social professionnel a été lancé en 2003 ?,LinkedIn,3
Qui a chanté "I Kissed a Girl" en 2008 ?,Katy Perry,2
Quel film français a dépassé les 20 millions d'entrées en 2008 ?,Bienvenue chez les Ch'tis,1
Quel dictateur irakien a été capturé en 2003 ?,Saddam Hussein,2
Quelle console Microsoft a concurrencé la PS3 ?,Xbox 360,2
Quel groupe français a sorti l'album "Tourist" en 2000 ?,St Germain,4
Qui a réalisé "Le Voyage de Chihiro" (2001) ?,Hayao Miyazaki,2
Quelle chanteuse a sorti l'album "Back to Black" ?,Amy Winehouse,2
Quel événement sportif a eu lieu au Portugal en 2004 ?,Euro de football,3
Quel livre de Dan Brown a fait polémique en 2003 ?,Da Vinci Code,2
Quel réseau social permettait de personnaliser sa page avec du CSS (ancêtre de Facebook) ?,MySpace,2
Qui a gagné la Star Academy 4 (2004) ?,Grégory Lemarchal,2
Quel film a mis en scène des voitures tunées et Vin Diesel en 2001 ?,Fast and Furious,1
Quelle monnaie a remplacé la Drachme grecque en 2001/2002 ?,Euro,2
Quel DJ français a sorti "Love Don't Let Me Go" en 2002 ?,David Guetta,2
Quelle série TV suit les aventures de Tony, parrain du New Jersey ?,Les Soprano,2
Quel nageur américain a commencé sa moisson de médailles à Athènes 2004 ?,Michael Phelps,2
Quel film a pour héros un poisson clown nommé Nemo ?,Le Monde de Nemo,1
Qui a chanté "Femme Like U" en 2004 ?,K-Maro,2
Quel homme politique a été agressé par Maxime Brunerie en 2002 ?,Jacques Chirac,4
Quel site a été créé par Julian Assange en 2006 ?,WikiLeaks,4
Quelle chanteuse barbadienne a débuté avec "Pon de Replay" en 2005 ?,Rihanna,2
Quel studio d'animation a été racheté par Disney en 2006 ?,Pixar,3
Quel film a remporté l'Oscar du meilleur film en 2001 (péplum) ?,Gladiator,2
Qui a écrit la saga "Twilight" débutée en livre en 2005 ?,Stephenie Meyer,3
Quel groupe de rap français a sorti "Demain c'est loin" (fin 90 mais culte 2000) ?,IAM,3
Quelle série de jeux de guerre a débuté en 2003 (Activision) ?,Call of Duty,2
Quel pays a été frappé par le cyclone Nargis en 2008 ?,Birmanie,5
Qui a gagné la première saison de Loft Story (avec Christophe) ?,Loana,1
Quel boys band a chanté "Bye Bye Bye" en 2000 ?,NSYNC,3
Quel film d'horreur a popularisé le concept de torture-porn en 2004 ?,Saw,2
Quelle présentatrice a animé "Le Maillon Faible" ?,Laurence Boccolini,2
Qui a été chancelière allemande à partir de 2005 ?,Angela Merkel,2
Quel jeu vidéo musical avec une guitare en plastique est sorti en 2005 ?,Guitar Hero,2
Quel chanteur a sorti "Relax Take It Easy" en 2006 ?,Mika,2
Quel virus informatique a causé des milliards de dégâts en 2000 ?,ILOVEYOU,4
Quelle série culte a pour héros un professeur de chimie devenant dealer (2008) ?,Breaking Bad,1
Qui a été élue Miss France 2001 (puis Miss Europe) ?,Élodie Gossuin,3
Quel film français choral avec des acteurs connus est sorti en 2002 (Kiss Kiss Bang Bang) ?,Le code a changé (ou confusion avec embrassez qui vous voudrez),5
Note: Question corrigée: Quel film a pour réplique "C'est cela oui" ?,Le Père Noël est une ordure (Hors 2000) -> Remplacé par: Qui a réalisé "Les Choristes" (2004) ?,Christophe Barratier,2
Quel groupe a chanté "Harder Better Faster Stronger" en 2001 ?,Daft Punk,1
Quel événement a marqué le passage à l'an 2000 en informatique (peur) ?,Bug de l'an 2000,1
Qui a épousé Nicolas Sarkozy en 2008 ?,Carla Bruni,2
Quel film a pour héros un robot compacteur de déchets (2008) ?,WALL-E,1
Quelle chanteuse a sorti le tube "Complicated" en 2002 ?,Avril Lavigne,2
Quel pays a lancé la Station Spatiale Internationale (ISS) avec les USA ?,Russie,3
Qui a présenté la météo sur Canal+ avec humour dans les années 2000 ?,Louise Bourgoin (Météo),3
Quel jeu de cartes à collectionner était très populaire dans les cours de récré (monstres) ?,Yu-Gi-Oh!,2
Quel film a réuni Christian Clavier et Gérard Depardieu en Gaule (2002) ?,Astérix et Obélix : Mission Cléopâtre,1
Quelle chanteuse colombienne a cartonné avec "Whenever Wherever" en 2001 ?,Shakira,1
Quel premier ministre britannique a soutenu Bush en Irak ?,Tony Blair,3
Quelle série TV raconte la vie de lycéens à Newport Beach ?,Newport Beach,3
Qui a gagné la Coupe du Monde de Rugby en 2003 ?,Angleterre,3
Quel film d'animation japonais a pour héros un château ambulant ?,Le Château ambulant,3
Quel rappeur a sorti "In Da Club" en 2003 ?,50 Cent,2
Quel accessoire de mode en plastique coloré portait-on au poignet (Lance Armstrong) ?,Bracelet Livestrong (ou Silly Bandz plus tard),3
Qui a réalisé "Mulholland Drive" (2001) ?,David Lynch,4
Quelle console portable de Sony est sortie en 2004 ?,PSP,2
Quel humoriste français a fait des sketchs avec un téléphone géant (le SAV) ?,Omar et Fred,2
Quelle chanteuse a chanté "La Boulette" en 2006 ?,Diam's,1
Quel pays a été le théâtre de la "Révolution orange" en 2004 ?,Ukraine,4
Quel film a pour personnage principal un poisson amnésique (Dory) ?,Le Monde de Nemo,2
Qui a succédé à Bill Clinton en 2001 ?,George W. Bush,1
Quel groupe a chanté "Hey Ya!" en 2003 ?,OutKast,2
Quelle série française suit des avocats et une greffière (Femmes de loi) ou Police Scientifique ?,R.I.S Police scientifique,4
Qui a réalisé "La Môme" (2007) ?,Olivier Dahan,3
Quel sport a vu la retraite de Pete Sampras en 2002 ?,Tennis,3
Quelle émission de TV réalité enfermait des célébrités dans une ferme ?,La Ferme Célébrités,2
Quel film a révélé Keira Knightley aux côtés de Johnny Depp ?,Pirates des Caraïbes,1
Quel groupe de rock anglais a sorti "X&Y" en 2005 ?,Coldplay,3
Quel pays a adopté l'Euro en 2001 (juste avant la monnaie physique) ?,Grèce,4
Quelle chanteuse a connu le succès avec "Fallin'" en 2001 ?,Alicia Keys,3
Qui a joué le rôle de Wolverine pour la première fois en 2000 ?,Hugh Jackman,2
Quel pilote espagnol a gagné le titre F1 en 2005 et 2006 ?,Fernando Alonso,2
Quel film d'animation met en scène des voitures de course (2006) ?,Cars,1
Quel accessoire pour écouter de la musique a remplacé le Discman ?,Lecteur MP3,1
Quelle ville américaine a subi les attentats du 11 septembre ?,New York,1
Qui a chanté "Oops!... I Did It Again" en 2000 ?,Britney Spears,1
Quel réseau social de microblogging a été créé en 2006 (oiseau bleu) ?,Twitter,2
Quelle série TV a popularisé Hugh Laurie en médecin boiteux ?,Dr House,1
Quel scandale a touché l'équipe de France de foot en 2008 (bus) ?,Knysna (C'est 2010 attention piège) -> Question remplacée : Qui était le sélectionneur des Bleus en 2006 ?,Raymond Domenech,2
Quel jeu vidéo a popularisé les guitares en plastique avant Guitar Hero ?,Guitar Freaks (ou Singstar pour le chant),5
Note: Question remplacée: Quel jeu de sport sur Wii a été un phénomène ?,Wii Sports,1
Quel groupe de Nu Metal a sorti "Chop Suey!" en 2001 ?,System of a Down,3
Quel film français a gagné la Palme d'Or en 2008 (Entre les murs) ?,Entre les murs,4
Qui a présenté "Y'a que la vérité qui compte" ?,Bataille et Fontaine,3
Quel pays a été accusé de posséder des armes de destruction massive en 2003 ?,Irak,1
Quelle chanteuse a formé le groupe Destiny's Child ?,Beyoncé,2
Quel film de Tim Burton est sorti en 2005 (Chocolaterie) ?,Charlie et la Chocolaterie,2
Qui a été sacré champion du monde de F1 en 2007 ?,Kimi Räikkönen,4
Quelle série TV fantastique a pour héroïnes trois sœurs sorcières (fin en 2006) ?,Charmed,2
Quel jeu vidéo a pour héros Master Chief ?,Halo,2
Quel groupe a chanté "Bring Me to Life" en 2003 ?,Evanescence,2
Qui a réalisé "Million Dollar Baby" (2004) ?,Clint Eastwood,3
Quelle chanteuse française a gagné la Star Ac 2 ?,Nolwenn Leroy,2
Quel événement a marqué le monde de la finance en 2008 ?,Crise des subprimes (ou Faillite Lehman Brothers),2
Quel film a pour héros un panda qui fait du Kung Fu (2008) ?,Kung Fu Panda,1
Qui a chanté "Umbrella" en 2007 ?,Rihanna,1
Quel premier ministre a subi la crise du CPE en 2006 ?,Dominique de Villepin,4
Quelle série TV a révélé Jennifer Garner en espionne ?,Alias,3
Quel joueur de tennis espagnol a gagné son premier Roland Garros en 2005 ?,Rafael Nadal,1
Quel film d'animation a pour héros un mammouth nommé Manny ?,L'Âge de glace,1
Qui a chanté "Ça m'énerve" en 2009 ?,Helmut Fritz,2
Quel pays a vu la catastrophe nucléaire de... (c'est 2011 Fukushima). Remplacé : Dans quel pays a eu lieu la prise d'otages de Beslan en 2004 ?,Russie,5
Quelle console de Nintendo a précédé la Wii (sortie en 2001) ?,GameCube,3
Qui a présenté la météo de TF1 pendant toute la décennie ?,Catherine Laborde (ou Evelyne Dhéliat),2
Quel film a pour réplique "Mon précieux" ?,Le Seigneur des Anneaux,1
Quelle chanteuse a sorti "Crazy in Love" en 2003 ?,Beyoncé,1
Quel traité a remplacé la constitution européenne en 2007 ?,Traité de Lisbonne,4
Qui a réalisé "Lost in Translation" (2003) ?,Sofia Coppola,4
Quel jeu de gestion de vie (Maxis) est sorti en 2000 ?,Les Sims,1
Quel groupe a chanté "Yellow" en 2000 ?,Coldplay,2
Quelle animatrice a présenté "C'est mon choix" ?,Évelyne Thomas,2
Quel film d'horreur espagnol a pour décor un immeuble infecté (2007) ?,REC,3
Qui a été le candidat socialiste face à Sarkozy en 2007 ?,Ségolène Royal,2
Quel appareil photo a progressivement disparu au profit du numérique ?,Argentique,2
Quel groupe de rap a sorti "Sorry Ms. Jackson" en 2000 ?,OutKast,3
Qui a joué le rôle de Jason Bourne dans la trilogie ?,Matt Damon,2
Quel pays a été dirigé par Lula de 2003 à 2010 ?,Brésil,3
Quelle émission de télé-crochet a été lancée sur M6 en 2003 (Popstars c'est 2001) ?,Nouvelle Star,2
Quel film a réuni Brad Pitt et George Clooney pour un braquage ?,Ocean's Eleven,2
Qui a chanté "Las Ketchup" ?,Las Ketchup,2
Quel navigateur internet a été lancé en 2004 pour concurrencer Internet Explorer ?,Firefox,2
Qui a gagné le Ballon d'Or en 2008 (Premier de sa série) ?,Cristiano Ronaldo,3
Quel film d'animation a pour héros un rat cuisinier (2007) ?,Ratatouille,1
Quelle chanteuse a sorti "Complicated" en 2002 ?,Avril Lavigne,2
Qui a réalisé "Le Pianiste" (2002) ?,Roman Polanski,3
Quel groupe de rock a chanté "Take Me Out" en 2004 ?,Franz Ferdinand,3
Quelle ville a accueilli les JO d'hiver de 2002 ?,Salt Lake City,4
Qui a été la première femme présidente du Chili en 2006 ?,Michelle Bachelet,5
Quel jeu vidéo a introduit les Mii ?,Wii Sports,2
Qui a chanté "Kamasutra" (chanteuse française) en 2006 ?,Lorie (Non c'est Joy Esther ou autre). Remplacé : Qui a chanté "J'ai besoin d'amour" ?,Lorie,2
Quel film a pour sujet la guerre en Irak (Oscar 2009) ?,Démineurs,4
Quel réseau social a été fondé en 2003 (musique et blog) ?,MySpace,2
Qui a joué le rôle d'Amélie Poulain ?,Audrey Tautou,1
Quel pilote moto a dominé les années 2000 ?,Valentino Rossi,2
Quelle série a pour héros un tueur en série de Miami ?,Dexter,2
Quel groupe a chanté "Clocks" en 2002 ?,Coldplay,3
Quel événement a annulé le Paris-Dakar en 2008 ?,Menaces terroristes,4
Qui a réalisé "Kill Bill" (2003) ?,Quentin Tarantino,2
Quelle chanteuse a sorti "Family Portrait" en 2001 ?,Pink,2
Quel pays a rejoint la zone Euro en 2007 ?,Slovénie,5
Qui a gagné la Star Academy 3 (2003) ?,Élodie Frégé,4
Quel film a pour héros un panda roux (ah non ça c'est 2022). Remplacé : Quel film d'animation a pour héros une famille de super-héros (2004) ?,Les Indestructibles,1
Quel groupe a chanté "Last Nite" en 2001 ?,The Strokes,4
Qui a été élu président de la Russie en 2000 ?,Vladimir Poutine,2
Quelle console portable a succédé à la Game Boy Color en 2001 ?,Game Boy Advance,2
Quel film français a pour vedette un poisson nommé "Némo" ? (Piège, c'est Disney). Remplacé : Quel film a pour vedette Gad Elmaleh en travesti ?,Chouchou,2
Qui a chanté "Grace Kelly" en 2007 ?,Mika,2
Quel événement spatial a eu lieu en 2001 (Tourisme) ?,Premier touriste de l'espace (Dennis Tito),4
Quelle série TV a pour décor Wisteria Lane ?,Desperate Housewives,1
Qui a réalisé "Gran Torino" (2008) ?,Clint Eastwood,2
Quel groupe a chanté "How to Save a Life" en 2005 ?,The Fray,3
Qui a gagné la Coupe du Monde de handball en 2001 ?,France,3
Quel téléphone BlackBerry était célèbre pour son clavier ?,Clavier AZERTY/QWERTY physique,2
Quel film a pour héros un homme qui rajeunit (2008) ?,L'Étrange Histoire de Benjamin Button,2
Qui a chanté "Hey There Delilah" en 2006 ?,Plain White T's,4
Quel pays a été dirigé par Silvio Berlusconi durant une grande partie des années 2000 ?,Italie,2
Quelle émission de TF1 faisait passer le permis de conduire à des stars ?,Le Grand Concours (Non). Remplacé : Zéro de conduite,4
Qui a réalisé "No Country for Old Men" (2007) ?,Les frères Coen,4
Quel jeu vidéo a pour héros un assassin à Jérusalem (2007) ?,Assassin's Creed,2
Quel groupe a chanté "Viva la Vida" en 2008 ?,Coldplay,2
Qui a été le Premier ministre britannique après Tony Blair (2007) ?,Gordon Brown,5
Quel film a pour sujet la vie d'Edith Piaf ?,La Môme,1
Quelle chanteuse a sorti "Rich Girl" en 2004 ?,Gwen Stefani,3
Quel pays a organisé les JO d'hiver de 2006 ?,Italie (Turin),3
Qui a gagné Koh-Lanta saison 1 ?,Gilles,5
Quel film d'animation a pour héros un ogre et un âne ?,Shrek,1
Qui a chanté "It's Raining Men" (reprise) en 2001 ?,Geri Halliwell,3
Quelle série TV suit une équipe d'experts à Las Vegas ?,Les Experts (CSI),1
Quel événement a marqué le Concorde en 2003 ?,Son dernier vol (retrait),3
Qui a réalisé "Le Seigneur des Anneaux" ?,Peter Jackson,1
Quel groupe a chanté "Californication" en 2000 (Single) ?,Red Hot Chili Peppers,2
Quel site d'enchères en ligne était incontournable ?,eBay,2
Qui a joué le rôle de Bridget Jones ?,Renée Zellweger,2
Quel pays a connu une crise économique majeure en 2001 (Cacerolazo) ?,Argentine,4
Quelle chanteuse a sorti "Can't Fight the Moonlight" (Coyote Girls) ?,LeAnn Rimes,3
Quel film a pour héros un lion, un zèbre, une girafe et un hippopotame ?,Madagascar,1
Qui a été maire de Paris en 2001 ?,Bertrand Delanoë,3
Quel groupe a chanté "Feel Good Inc." en 2005 ?,Gorillaz,3
Quelle console a introduit le Blu-Ray en 2006 ?,PlayStation 3,2
Qui a réalisé "Les Infiltrés" (2006) ?,Martin Scorsese,3
Quel événement a touché le métro de Londres en 2005 ?,Attentats terroristes,3
Qui a chanté "Whenever, Wherever" ?,Shakira,1
Quel film français raconte la vie dans un internat en 1949 ?,Les Choristes,1
Quel joueur de foot a remporté le Ballon d'Or en 2005 ?,Ronaldinho,2
Quelle série TV suit des naufragés (encore) ?,Lost,1
Qui a chanté "Tired of Being Sorry" en 2008 ?,Enrique Iglesias (avec Nâdiya),2
Quel pays a été dirigé par Hugo Chavez ?,Venezuela,3
Quelle marque de baladeur a dominé le marché ?,iPod (Apple),1
Quel film de science-fiction a pour héros Neo (suites en 2003) ?,Matrix,1
Qui a chanté "Un dos tres" (Série et chanson) ?,Ricky Martin (Non chanson générique). Remplacé : Qui chante "Maria" en 1999/2000 ?,Ricky Martin,2
Quel système d'exploitation a succédé à Windows XP en 2007 (et a bidé) ?,Windows Vista,3
Qui a réalisé "Into the Wild" (2007) ?,Sean Penn,3
Quel groupe a chanté "Numb" en 2003 ?,Linkin Park,2
Quelle monnaie a remplacé le Mark allemand ?,Euro,1
Qui a gagné la Coupe du Monde de foot féminine en 2003 ?,Allemagne,5
Quel film a pour vedette Will Smith et son fils (2006) ?,À la recherche du bonheur,2
Qui a chanté "Dilemma" en 2002 ?,Nelly et Kelly Rowland,2
Quel pape a succédé à Jean-Paul II en 2005 ?,Benoît XVI,2
Quelle émission de télé-réalité suivait la famille Osbourne ?,The Osbournes,4
Quel film a pour méchant le Joker (2008) ?,The Dark Knight,1
Qui a chanté "Sk8er Boi" en 2002 ?,Avril Lavigne,2
Quel événement a touché AZF à Toulouse en 2001 ?,Explosion de l'usine,2
Quelle série TV a pour héros un tueur de vampires (fin en 2003) ?,Buffy contre les vampires,2
Qui a réalisé "Le Fabuleux Destin d'Amélie Poulain" ?,Jean-Pierre Jeunet,2
Quel groupe a chanté "Shut Up" en 2003 ?,The Black Eyed Peas,2
Quelle console portable avait deux écrans dont un tactile ?,Nintendo DS,2
Quel film a pour héros un petit poisson clown ?,Nemo,1
Qui a chanté "Cry Me a River" en 2002 ?,Justin Timberlake,2
Quel homme politique a perdu face à Bush en 2000 (recomptage) ?,Al Gore,3
Quelle série TV se déroule dans une agence de pub dans les années 60 (début 2007) ?,Mad Men,3
Qui a gagné l'Euro 2008 de football ?,Espagne,2
Quel film a pour héros des manchots danseurs (2006) ?,Happy Feet,2
Qui a chanté "L'Envie d'aimer" (Les Dix Commandements) en 2000 ?,Daniel Lévi,2
Quel pays a été frappé par le séisme du Sichuan en 2008 ?,Chine,4
Quelle entreprise a lancé la Xbox en 2001 ?,Microsoft,1
Qui a réalisé "Avatar" ?,James Cameron,1
Quel groupe a chanté "American Idiot" en 2004 ?,Green Day,2
Quelle chanteuse a sorti "Hung Up" en 2005 (sample ABBA) ?,Madonna,2
Quel joueur de tennis a gagné Wimbledon en 2001 avec une Wild Card ?,Goran Ivanisevic,5
Quel film français a eu du succès avec des marionnettes (Le Bébête Show non). Remplacé : Quel film a pour titre "Être et Avoir" ?,Documentaire sur l'école,3
Qui a chanté "Marly-Gomont" en 2006 ?,Kamini,2
Quelle série TV suit un père de famille trafiquant de drogue (déjà vu). Remplacé : Quelle série suit des vampires en Louisiane (2008) ?,True Blood,3
Quel événement a touché Madrid en 2004 ?,Attentats d'Atocha (Gare),3
Qui a réalisé "Slumdog Millionaire" (2008) ?,Danny Boyle,3
Quel groupe a chanté "Chasing Cars" en 2006 ?,Snow Patrol,3
Quelle console a introduit la Wiimote ?,Wii,1
Qui a chanté "Whenever Wherever" ?,Shakira,1
Quel film a réuni Brad Pitt et Angelina Jolie ?,Mr. and Mrs. Smith,2
Qui a gagné la Star Academy 2 ?,Nolwenn Leroy,2
Quel pays a rejoint l'UE en 2007 avec la Bulgarie ?,Roumanie,4
Quelle chanteuse a sorti "Hips Don't Lie" ?,Shakira,1
Quel film a pour héros Borat (2006) ?,Borat,2
Qui a présenté le Morning Live sur M6 ?,Michaël Youn,2
Quel groupe a chanté "Mr. Brightside" en 2004 ?,The Killers,2
Quelle série TV a pour héros un prof de chimie (Walter White) ?,Breaking Bad,1
Qui a réalisé "La Cité de Dieu" (2002) ?,Fernando Meirelles,4
Quel événement a touché les côtes françaises en 1999/2000 (Marée noire) ?,Erika,3
Qui a chanté "Moi... Lolita" ?,Alizée,1
Quel film d'animation a pour héros Shrek ?,Shrek,1
Quelle console de jeu est sortie en 2005 chez Microsoft ?,Xbox 360,2
Qui a gagné le Tour de France 2000 (titre retiré) ?,Lance Armstrong,1
Quel film a pour héros un petit robot blanc (EVE) et jaune (WALL-E) ?,WALL-E,1
Qui a chanté "Boulevard of Broken Dreams" ?,Green Day,2
Quel pays a adopté l'Euro en 2008 (île) ?,Chypre (ou Malte),5
Quelle émission de télé-réalité enfermait des candidats dans un château ?,Star Academy,1
