QUESTION,REPONSE,DIFFICULTE
Quel est le nom du petit du cerf ?,Faon,2
Quel animal peut courir sur l'eau (Lézard Jésus-Christ) ?,Basilic,5
Quel est le nom de la femelle du tigre ?,Tigresse,1
Quel animal a inspiré le personnage de Sonic ?,Hérisson,1
Quel oiseau a le plus grand tour d'aile (envergure) ?,Albatros,3
Quel animal est immunisé contre le venin de serpent (Cobra) ?,Mangouste,4
Quel est le cri du mouton ?,Bêlement,1
Quel animal est un "gastéropode" ?,Escargot,4
Quel est le nom du petit de la chèvre ?,Chevreau (ou Cabri),2
Quel animal a le plus de dents (escargot ou requin) ?,Escargot (Radula),5
