QUESTION,REPONSE,DIFFICULTE
En quelle année l'euro a-t-il été mis en circulation (billets et pièces) ?,2002,3
Qui a dirigé la résistance française depuis Londres ?,Charles de Gaulle,1
Quel samouraï a unifié le Japon au 16e siècle ?,Oda Nobunaga,5
En quelle année a eu lieu la bataille de Waterloo ?,1815,2
Qui a découvert la pénicilline ?,Alexander Fleming,4
Quel empire a été dirigé par Soliman le Magnifique ?,Empire Ottoman,3
Quelle ville a été le siège de la papauté en France ?,Avignon,4
Qui a écrit l'Iliade et l'Odyssée ?,Homère,2
En quelle année le droit de vote a-t-il été accordé aux femmes en France ?,1944,3
Quel explorateur italien a donné son nom à l'Amérique ?,Amerigo Vespucci,3
Qui a été le premier président noir des États-Unis ?,Barack Obama,1
Quelle bataille de 1916 est devenue le symbole de l'horreur des tranchées ?,Verdun,2
En quelle année Charlemagne a-t-il été sacré empereur ?,800,2
Qui a formulé la théorie de la relativité ?,Albert Einstein,1
Quel pays a attaqué Pearl Harbor en 1941 ?,Japon,2
Qui était le Premier ministre britannique pendant la Seconde Guerre mondiale ?,Winston Churchill,2
En quelle année a eu lieu le premier vol motorisé des frères Wright ?,1903,4
Quel roi a signé l'Édit de Nantes ?,Henri IV,3
Qui a conquis le Mexique pour l'Espagne ?,Hernan Cortès,3
Quel événement a déclenché la Première Guerre mondiale ?,Attentat de Sarajevo,3
En quelle année a été abolie la peine de mort en France ?,1981,3
Qui a peint Guernica ?,Pablo Picasso,2
Quel pape a lancé la première croisade ?,Urbain II,4
Quelle civilisation a inventé la poudre à canon ?,Chine,2
En quelle année l'Allemagne a-t-elle été réunifiée ?,1990,3
Qui a découvert la radioactivité ?,Marie Curie,2
Quel roi de France était surnommé le "Roi des Français" (Monarchie de Juillet) ?,Louis-Philippe,4
En quelle année a eu lieu la bataille d'Hastings ?,1066,4
Qui a été le premier homme dans l'espace ?,Youri Gagarine,2
Quelle civilisation a construit le Machu Picchu ?,Incas,2
Qui a trahi Jésus selon la Bible ?,Judas,1
En quelle année la France a-t-elle gagné sa première Coupe du Monde de foot ?,1998,1
Quel chef révolutionnaire argentin a aidé Castro à Cuba ?,Che Guevara,2
Qui a rédigé la Déclaration d'Indépendance des États-Unis ?,Thomas Jefferson,4
Quel roi mythique de Bretagne est associé aux chevaliers de la Table Ronde ?,Arthur,1
En quelle année l'esclavage a-t-il été aboli définitivement en France ?,1848,3
Qui a fondé l'Islam ?,Mahomet,2
Quel pays a colonisé le Brésil ?,Portugal,2
Qui a été le dernier tsar de Russie ?,Nicolas II,3
En quelle année a été signé le Traité de Rome (CEE) ?,1957,4
Quel philosophe grec a été condamné à boire de la ciguë ?,Socrate,3
Qui a libéré l'Inde de la domination britannique ?,Gandhi,2
Quelle bataille a marqué la fin de Napoléon Ier ?,Waterloo,1
En quelle année a eu lieu l'attentat des tours jumelles à New York ?,2001,1
Qui a inventé l'ampoule électrique ?,Thomas Edison,2
Quel roi de France a fait construire le château de Chambord ?,François Ier,3
Quelle guerre s'est terminée par l'armistice de Panmunjom en 1953 ?,Guerre de Corée,4
Qui a écrit "Les Misérables" ?,Victor Hugo,1
En quelle année Mao Zedong a-t-il proclamé la République populaire de Chine ?,1949,4
Quel explorateur a atteint le premier le pôle Sud ?,Roald Amundsen,5
Qui a été le premier président des États-Unis ?,George Washington,2
Quelle ville italienne a été ensevelie par le Vésuve ?,Pompéi,2
En quelle année a commencé la Révolution française ?,1789,1
Qui a unifié l'Allemagne au 19e siècle ?,Otto von Bismarck,4
Quel peuple scandinave a mené des raids en Europe au Moyen Âge ?,Vikings,1
Qui a peint le plafond de la chapelle Sixtine ?,Michel-Ange,2
En quelle année a été signée la Déclaration d'indépendance américaine ?,1776,2
Quel roi anglais a été exécuté en 1649 ?,Charles Ier,5
Qui a été la première femme Premier ministre du Royaume-Uni ?,Margaret Thatcher,3
Quelle civilisation a inventé les hiéroglyphes ?,Égyptiens,1
En quelle année a eu lieu le massacre de la Saint-Barthélemy ?,1572,4
Qui a commandé les armées alliées lors du débarquement en Normandie ?,Eisenhower,4
Quel pays a été le théâtre de la Guerre des Roses ?,Angleterre,4
Qui a découvert la gravité en recevant (selon la légende) une pomme sur la tête ?,Isaac Newton,2
En quelle année le Titanic a-t-il fait naufrage ?,1912,1
Quel empereur romain a légalisé le christianisme ?,Constantin,4
Qui a écrit "Le Petit Prince" ?,Antoine de Saint-Exupéry,2
Quelle guerre a duré de 1337 à 1453 ?,Guerre de Cent Ans,3
En quelle année l'URSS a-t-elle lancé Spoutnik ?,1957,4
Qui a été le chef des Huns ?,Attila,2
Quel président français est mort en fonction en 1974 ?,Georges Pompidou,4
Qui a assassiné Henri IV ?,Ravaillac,3
En quelle année a eu lieu la catastrophe de Tchernobyl ?,1986,2
Quelle civilisation précolombienne pratiquait des sacrifices humains massifs au Mexique ?,Aztèques,3
Qui a composé la 9ème symphonie (Ode à la joie) ?,Beethoven,2
Quel traité a divisé l'empire de Charlemagne en 843 ?,Traité de Verdun,5
En quelle année a été construite la Tour Eiffel ?,1889,2
Qui était le dieu de la guerre chez les Romains ?,Mars,2
Quel roi de France a été surnommé "le Saint" ?,Louis IX (Saint Louis),3
En quelle année a eu lieu la bataille de Stalingrad ?,1942,3
Qui a inventé le cinéma ?,Frères Lumière,3
Quel pays a été envahi par l'Allemagne en 1939, déclenchant la guerre ?,Pologne,2
Qui a régné sur l'Angleterre pendant l'époque victorienne ?,Victoria,2
En quelle année a eu lieu le krach boursier de Wall Street ?,1929,2
Qui a théorisé l'évolution des espèces ?,Charles Darwin,2
Quel navigateur portugais a ouvert la route des Indes en contournant l'Afrique ?,Vasco de Gama,4
En quelle année a été fondée la Ve République ?,1958,3
Qui a dirigé l'Espagne de 1939 à 1975 ?,Franco,3
Quel événement de 1955 marque le début du mouvement des droits civiques aux USA ?,Boycott des bus (Rosa Parks),3
Qui a été le dernier pharaon d'Égypte (dynastie lagide) ?,Cléopâtre,2
En quelle année Hong Kong a-t-il été rétrocédé à la Chine ?,1997,4
Quel roi de France a révoqué l'Édit de Nantes ?,Louis XIV,4
Qui a été le premier empereur de Chine ?,Qin Shi Huang,5
Quelle guerre a opposé l'Angleterre et l'Argentine en 1982 ?,Guerre des Malouines,4
En quelle année a été inventé le World Wide Web (Web) ?,1989,4
Qui a peint "La Liberté guidant le peuple" ?,Delacroix,4
Quel président américain a été acteur de cinéma avant d'être élu ?,Ronald Reagan,3
En quelle année a eu lieu l'exposition universelle de Paris (Tour Eiffel) ?,1889,2
Qui a mené la "Longue Marche" en Chine ?,Mao Zedong,4
Quel peuple a fondé Carthage ?,Phéniciens,5
En quelle année le canal de Suez a-t-il été inauguré ?,1869,5
Qui a été le principal opposant politique de Louis XIV (La Fronde) ?,Le Grand Condé,5
Quel président français a aboli la peine de mort ?,François Mitterrand,2
En quelle année a eu lieu la première élection présidentielle au suffrage universel en France ?,1965,4
Qui a été surnommé "Le Tigre" pendant la Guerre de 14-18 ?,Georges Clemenceau,3
Quelle bataille navale a vu la victoire de l'Angleterre sur Napoléon en 1805 ?,Trafalgar,3
En quelle année Israël a-t-il été créé ?,1948,4
Qui a écrit "La Guerre des Gaules" ?,Jules César,3
Quel explorateur français a fondé Québec ?,Samuel de Champlain,4
En quelle année la ségrégation raciale a-t-elle été abolie aux USA ?,1964,4
Qui a été le premier homme à faire un vol spatial ?,Youri Gagarine,2
Quel roi de France a été capturé à la bataille de Pavie ?,François Ier,4
En quelle année a eu lieu la bataille d'Austerlitz ?,1805,3
Qui a fondé la Croix-Rouge ?,Henry Dunant,5
Quelle dynastie a régné sur la France avant les Capétiens ?,Carolingiens,4
En quelle année a eu lieu le coup d'État de Napoléon Bonaparte (18 Brumaire) ?,1799,4
Qui a été la première femme à recevoir un prix Nobel ?,Marie Curie,3
Quel président américain a ordonné le largage de la bombe atomique ?,Harry Truman,4
En quelle année le mur de Berlin a-t-il été construit ?,1961,4
Qui a traduit la Bible en allemand ?,Martin Luther,4
Quel événement a eu lieu le 14 juillet 1789 ?,Prise de la Bastille,1
En quelle année la monarchie a-t-elle été abolie en France (1ère fois) ?,1792,4
Qui a découvert le radium ?,Marie et Pierre Curie,3
Quel traité a mis fin à la guerre d'Indochine en 1954 ?,Accords de Genève,5
En quelle année le droit à l'avortement (IVG) a-t-il été légalisé en France ?,1975,3
Qui a été le premier président de la Fédération de Russie ?,Boris Eltsine,4
Quel roi a succédé à Louis XIV ?,Louis XV,3
En quelle année a eu lieu le génocide au Rwanda ?,1994,3
Qui a écrit "L'Origine des espèces" ?,Charles Darwin,3
Quel chef indien a résisté aux britanniques par la non-violence ?,Gandhi,1
En quelle année a eu lieu la bataille de Verdun ?,1916,2
